804.93,777.95,803.44,778.95
776.64,787.90,793.49,765.96
824.74,799.06,816.67,798.26
794.34,805.54,806.42,792.34
819.04,825.39,831.30,826.32
806.34,805.37,811.35,793.00
829.41,825.46,832.50,819.97
804.03,819.26,815.40,804.24
815.05,812.81,816.18,805.34
803.65,802.82,803.58,791.22
825.96,823.82,825.22,813.07
812.34,800.07,808.09,802.41
810.46,798.98,807.99,801.49
812.06,809.35,821.03,806.49
806.70,814.00,818.36,803.13
797.52,806.98,803.08,794.78
794.58,803.88,808.32,790.31
810.14,801.29,816.47,797.58
802.41,814.54,810.76,800.75
812.78,816.77,815.74,813.14
814.78,815.87,826.50,802.98
832.43,823.98,830.74,823.43
828.71,831.16,829.68,829.64
818.31,816.07,816.99,801.69
843.29,836.48,839.88,828.98
831.14,841.89,841.87,836.96
841.74,836.35,841.13,833.35
823.02,830.33,825.56,812.99
838.65,835.35,843.95,834.11
822.81,833.74,826.57,821.24
849.68,829.22,845.85,830.51
849.73,857.87,858.74,849.72
856.21,854.99,857.53,848.96
865.90,865.62,868.27,857.98
853.95,865.57,874.27,849.36
811.88,837.01,843.23,812.41
820.39,830.39,830.29,820.84
811.60,806.44,809.84,804.62
813.31,819.50,825.49,810.90
822.00,831.26,827.70,826.65
818.14,819.92,817.92,807.97
832.93,838.50,838.92,837.67
832.90,821.53,834.81,824.91
825.11,836.23,832.91,825.35
830.20,832.15,840.34,830.39
841.98,828.70,842.29,836.05
840.21,840.97,839.73,837.22
838.81,836.60,838.03,831.16
845.97,838.59,838.93,837.90
841.90,840.51,850.13,839.66
844.62,847.19,855.39,846.43
852.92,847.80,853.42,847.59
850.67,852.84,853.10,842.04
846.34,853.15,850.57,843.74
851.53,842.25,852.98,843.06
847.63,851.44,849.10,847.94
861.13,854.19,862.25,851.54
842.95,861.24,854.98,848.42
850.94,846.24,853.13,844.75
849.99,853.54,854.20,847.94
853.87,853.94,858.59,852.29
857.75,857.87,861.51,856.99
856.03,851.61,858.83,849.13
869.01,867.28,873.76,866.61
861.39,857.40,862.87,861.28
861.17,866.15,865.74,858.56
870.87,872.13,872.18,862.46
869.67,872.29,873.19,867.06
874.34,885.06,875.89,878.49
871.76,869.03,870.83,863.00
851.55,872.68,877.74,856.20
851.21,852.10,859.62,855.51
835.19,837.19,837.61,829.29
830.63,842.61,846.31,825.20
834.05,823.89,837.30,820.59
856.89,842.21,861.70,836.37
866.13,845.27,867.89,845.48
858.72,855.04,858.19,855.88
846.12,841.68,847.12,843.72
865.70,850.67,868.44,849.82
850.89,842.85,850.56,845.98
857.86,856.63,870.03,849.81
841.28,844.29,846.59,840.48
851.34,848.06,852.07,846.41
853.52,845.57,855.91,848.37
835.37,842.31,846.94,830.70
839.64,838.62,841.61,831.40
822.41,841.62,846.86,820.87
854.79,820.80,837.52,840.34
853.65,831.96,839.27,850.56
858.63,868.99,864.22,861.49
859.69,868.97,864.34,862.89
858.56,869.85,862.86,863.12
888.17,871.50,886.15,875.23
885.18,888.97,899.84,879.30
887.46,886.24,890.55,883.62
891.74,899.13,894.12,893.05
922.84,923.85,933.46,921.69
941.77,926.07,945.26,923.09
932.91,932.52,936.99,930.98
